Unnamed: 0,Freqs,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,Electrode_Distance,Genotype,Brain_State
79,40.56480000000001,0.03983312582437233,0.005671219445163932,0.007924897639251216,0.04361884389812254,0.01694070028352933,0.002295872181336482,0.004338221619531313,0.02185186853430017,0.006369586454018638,0.003402664164524172,0.006243211577202991,0.001214859069115126,0.002975039107593563,0.008949827648499066,0.003842722978620273,0.006456411888382267,0.004796895430455468,0.001765667278196994,Long,KO,wake
80,41.0656,0.03578161460419801,0.005517009607063346,0.008282979597995097,0.04247982915097715,0.01769961034973922,0.002271851792778003,0.004220529229068811,0.02141068329598503,0.008415745187566742,0.003194210644942102,0.006333290211012833,0.001516825717737644,0.003333206456636638,0.008739090478689385,0.003515018427974495,0.00543169407511197,0.004736558456937102,0.001827488857250844,Long,KO,wake
81,41.5664,0.03554521731510143,0.005375371228903644,0.008152550227770072,0.04102244045499353,0.01688247543371734,0.002167458686382645,0.004015310920621879,0.02107625599886691,0.007754173953942719,0.003045863674485116,0.006392655442960298,0.001502475875468993,0.003888706023596046,0.008349642877452882,0.003286290760600202,0.00520991572321392,0.00435809814261871,0.001984676329597112,Long,KO,wake
82,42.0672,0.03693092698429239,0.005560417791547506,0.007926929089234553,0.04127335807399191,0.01649874813651819,0.001959636464192229,0.003765259787573173,0.02155182344549817,0.00843884850400247,0.003409276518347445,0.006598815358916146,0.001341790450519573,0.003870417675082023,0.00807557754518124,0.003096408521949381,0.005169858583703744,0.003927041169168833,0.001737197422662842,Long,KO,wake
83,42.568,0.03693442626783462,0.005780485439053627,0.007842470061097652,0.04145537097063921,0.01648621579189173,0.00195346338227407,0.00321916860166316,0.02145309698465325,0.01101799654302585,0.003160553461874598,0.007420900603678449,0.001319182219150021,0.003828568074742772,0.007333978882421129,0.002992633275066413,0.004710247358762561,0.004042575126917481,0.001851758753214134,Long,KO,wake
84,43.0688,0.03565768100898944,0.005489813226023372,0.007130081561882828,0.04102545390883263,0.01645853530435359,0.001985141264488349,0.002835072007000945,0.0222223781261754,0.01033513497151822,0.002840382940864759,0.007271340073489746,0.001264201526206566,0.003749587428558638,0.00731247853045346,0.00304671575446132,0.004571050185842048,0.004050909272602536,0.001908976861646333,Long,KO,wake
85,43.5696,0.03488906801784275,0.005175999841447748,0.00676691742408296,0.04227591659073861,0.01549265022556051,0.002201770143613814,0.002598021853122117,0.02188161946052084,0.009850887016716856,0.00268305120423578,0.006023202067995493,0.001342714383927278,0.003464238147458325,0.00656039518261545,0.002908096950172758,0.003866871742567122,0.003623084346854192,0.002209253210256307,Long,KO,wake
86,44.0704,0.03476780465247135,0.005148387362644825,0.007095944395902999,0.04233869341585855,0.01511940538445897,0.002385932979753537,0.002527573580964085,0.02050279209085522,0.009944297191253981,0.002567609447945558,0.005645832911781889,0.00144373462221353,0.00303949434712246,0.006446160226310952,0.002742629977055061,0.003200349675244263,0.00385117011484137,0.002412586471700971,Long,KO,wake
87,44.5712,0.0344039576662416,0.005341571413696695,0.006894109904602513,0.0432834918956216,0.01508520855952755,0.002415641549236631,0.002711504474086719,0.02047710293412399,0.009724395425163767,0.002533232038826579,0.005207935875705553,0.001480535015696692,0.002556870777821034,0.005773343632816483,0.002327775467279443,0.003296128071245727,0.003824998434760121,0.002258536241349087,Long,KO,wake
88,45.072,0.03366342607080593,0.005014351992503973,0.007248969403946146,0.04379277072524942,0.01465081133794345,0.002249885329713429,0.003108167356674983,0.01999830919754388,0.008641035193542193,0.002420849163590989,0.004830370078258545,0.00131935319436535,0.002217495610464724,0.005193660042450013,0.002060412535327286,0.003379277404155555,0.003593570644317247,0.002173358943787813,Long,KO,wake
89,45.5728,0.02986720378155805,0.004811458201884601,0.006802439418467389,0.04347496535134935,0.01425824353786191,0.002402982305551052,0.003034738297947598,0.01947374638578821,0.007973439908301141,0.002654489273841126,0.004378472472438431,0.0009653648915891612,0.001992554994176696,0.004555652922818943,0.001716770691823796,0.003448487441993118,0.003566228852872052,0.001835054532045502,Long,KO,wake
90,46.0736,0.02846866534807929,0.004620588863290738,0.007004084975507995,0.04240049941619196,0.01270228063223002,0.00234901727611479,0.00310616315367565,0.01988352931318955,0.008118114519142171,0.002567872126614889,0.004123752397208451,0.001055909175728599,0.001802170822975098,0.004827184363261484,0.001405370945056118,0.003586792187592008,0.003452200291978687,0.001722882790024729,Long,KO,wake
91,46.5744,0.02724490362430587,0.004484356627146568,0.006992423546725814,0.04193987581927548,0.01229004477396675,0.002382270063021233,0.003463456882680024,0.01951251800550545,0.00925456360345931,0.002372003265365504,0.003404556738847969,0.001297714327024198,0.001782909446358946,0.004953793502885571,0.001312079028317048,0.003192053694102385,0.003343837189874103,0.001642340636710291,Long,KO,wake
92,47.0752,0.02835352185189799,0.004028270492947629,0.006989450576440489,0.04130783114647094,0.01203628079277427,0.002305094838012107,0.003828174265690428,0.01861542155909818,0.008365089500047527,0.002214072864194349,0.003838937659738426,0.001297068573991688,0.002043233999814207,0.004593695758976309,0.00123183994574871,0.003069016231911249,0.003278607010883498,0.001541210421759674,Long,KO,wake
93,47.576,0.0277409587047019,0.003814367670360862,0.006912490537653171,0.03806443345364211,0.0106415610091561,0.002346537168808862,0.003203923862207996,0.01905142258260411,0.007632070773959218,0.00247355703346789,0.004116556409613247,0.001364628189696083,0.002174991246760978,0.004953326155717981,0.001153559190851106,0.003181293063539988,0.003566143523318719,0.001769354595139809,Long,KO,wake
94,48.07680000000001,0.02583065093975255,0.00301766803760549,0.00620363279562275,0.0327674039965388,0.008567293386692364,0.002528304562015618,0.003064974555471302,0.01867562993815063,0.007766549182517111,0.002354913607600434,0.003806513273132591,0.001175495564975767,0.00208984661456741,0.005970825334188671,0.001101910896213412,0.00284108747887192,0.003626244907229864,0.001638618377693975,Long,KO,wake
95,48.5776,0.02206083689060827,0.002466665068273071,0.005731283027947216,0.02457792200498888,0.007037008074625235,0.002932118801209466,0.003233693659928619,0.01875160230717276,0.00722949705003358,0.002049974452210918,0.003662524161704245,0.001536737915368977,0.001984527946119132,0.00718936059871589,0.001072215889776336,0.003294306809204197,0.003576587953126388,0.001779255198572666,Long,KO,wake
96,49.0784,0.01772251361619559,0.002321275028387398,0.006883599043188321,0.01464353836834251,0.005818568025380787,0.003040370360150152,0.002915349458372786,0.02107874957878003,0.006003626317418062,0.00227414753567878,0.003709027160234159,0.001387176158512539,0.001955854854798499,0.009046324909162304,0.001053139068148273,0.003419394426670315,0.003232045623933611,0.002019066928530464,Long,KO,wake
97,49.5792,0.01834244356439842,0.002228760580814249,0.006899658766655186,0.00654481559784892,0.005105293038818253,0.003123873078381431,0.002276124596906444,0.02913878432329606,0.005414644603049446,0.002225055713546636,0.003571019037938324,0.001230374304603141,0.001957580912178854,0.01496825592193105,0.001044770706294766,0.002629401266692152,0.003262000467736236,0.00224768367252481,Long,KO,wake
98,50.08000000000001,0.01865883959409164,0.002861420801132475,0.006593558584843252,0.005459383589467107,0.005501480853012143,0.003332664014845766,0.002097604918763901,0.03558741589013235,0.005908972964124939,0.002348840287584043,0.003349459354611881,0.001472056476136113,0.001786029397677194,0.02359714110172522,0.001095656723170742,0.002574364307602922,0.003761934107328566,0.002344615102328376,Long,KO,wake
